source,date,author,url,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
The Draft Network,03/20/23,Brentley Weissman,https://www.nflmockdraftdatabase.com/mock-drafts/2023/the-draft-network-2023-brentley-weissman?date=2023-03-20,"['carolina-panthers', 'C.J. Stroud', 'QB', 'Ohio St.', 'Big Ten']","['houston-texans', 'Bryce Young', 'QB', 'Alabama', 'SEC']","['arizona-cardinals', 'Will Anderson Jr.', 'EDGE', 'Alabama', 'SEC']","['indianapolis-colts', 'Anthony Richardson', 'QB', 'Florida', 'SEC']","['seattle-seahawks', 'Tyree Wilson', 'EDGE', 'Texas Tech', 'Big 12']","['detroit-lions', 'Christian Gonzalez', 'CB', 'Oregon', 'Pac-12']","['las-vegas-raiders', 'Jalen Carter', 'DL', 'Georgia', 'SEC']","['atlanta-falcons', 'Myles Murphy', 'EDGE', 'Clemson', 'ACC']","['chicago-bears', 'Broderick Jones', 'OT', 'Georgia', 'SEC']","['philadelphia-eagles', 'Devon Witherspoon', 'CB', 'Illinois', 'Big Ten']","['tennessee-titans', 'Paris Johnson Jr.', 'OT', 'Ohio St.', 'Big Ten']","['houston-texans', 'Jordan Addison', 'WR', 'USC', 'Pac-12']","['new-york-jets', 'Peter Skoronski', 'OT', 'Northwestern', 'Big Ten']","['new-england-patriots', 'Darnell Wright', 'OT', 'Tennessee', 'SEC']","['green-bay-packers', 'Jaxon Smith-Njigba', 'WR', 'Ohio St.', 'Big Ten']","['washington-commanders', 'Deonte Banks', 'CB', 'Maryland', 'Big Ten']","['pittsburgh-steelers', 'Joey Porter Jr.', 'CB', 'Penn St.', 'Big Ten']","['detroit-lions', 'Will Levis', 'QB', 'Kentucky', 'SEC']","['tampa-bay-buccaneers', 'Bijan Robinson', 'RB', 'Texas', 'Big 12']","['seattle-seahawks', 'Bryan Bresee', 'DL', 'Clemson', 'ACC']","['los-angeles-chargers', 'Dalton Kincaid', 'TE', 'Utah', 'Pac-12']","['baltimore-ravens', 'Lukas Van Ness', 'EDGE', 'Iowa', 'Big Ten']","['minnesota-vikings', 'Zay Flowers', 'WR', 'Boston College', 'ACC']","['jacksonville-jaguars', 'Michael Mayer', 'TE', 'Notre Dame', 'FBS Independent']","['new-york-giants', 'Quentin Johnston', 'WR', 'TCU', 'Big 12']","['dallas-cowboys', 'Nolan Smith', 'EDGE', 'Georgia', 'SEC']","['buffalo-bills', 'John Michael Schmitz', 'IOL', 'Minnesota', 'Big Ten']","['cincinnati-bengals', 'Brian Branch', 'S', 'Alabama', 'SEC']","['new-orleans-saints', ""O'Cyrus Torrence"", 'IOL', 'Florida', 'SEC']","['philadelphia-eagles', 'Calijah Kancey', 'DL', 'Pittsburgh', 'ACC']","['kansas-city-chiefs', 'Derick Hall', 'EDGE', 'Auburn', 'SEC']"
Browns Wire,03/20/23,Cory Kinnan,https://www.nflmockdraftdatabase.com/mock-drafts/2023/browns-wire-2023-cory-kinnan?date=2023-03-20,"['carolina-panthers', 'C.J. Stroud', 'QB', 'Ohio St.', 'Big Ten']","['houston-texans', 'Bryce Young', 'QB', 'Alabama', 'SEC']","['indianapolis-colts', 'Anthony Richardson', 'QB', 'Florida', 'SEC']","['arizona-cardinals', 'Will Anderson Jr.', 'EDGE', 'Alabama', 'SEC']","['seattle-seahawks', 'Jalen Carter', 'DL', 'Georgia', 'SEC']","['detroit-lions', 'Christian Gonzalez', 'CB', 'Oregon', 'Pac-12']","['las-vegas-raiders', 'Paris Johnson Jr.', 'OT', 'Ohio St.', 'Big Ten']","['atlanta-falcons', 'Nolan Smith', 'EDGE', 'Georgia', 'SEC']","['tennessee-titans', 'Will Levis', 'QB', 'Kentucky', 'SEC']","['philadelphia-eagles', 'Myles Murphy', 'EDGE', 'Clemson', 'ACC']","['chicago-bears', 'Tyree Wilson', 'EDGE', 'Texas Tech', 'Big 12']","['houston-texans', 'Jaxon Smith-Njigba', 'WR', 'Ohio St.', 'Big Ten']","['new-york-jets', 'Peter Skoronski', 'OT', 'Northwestern', 'Big Ten']","['new-england-patriots', 'Broderick Jones', 'OT', 'Georgia', 'SEC']","['green-bay-packers', 'Quentin Johnston', 'WR', 'TCU', 'Big 12']","['washington-commanders', 'Devon Witherspoon', 'CB', 'Illinois', 'Big Ten']","['pittsburgh-steelers', 'Joey Porter Jr.', 'CB', 'Penn St.', 'Big Ten']","['detroit-lions', 'Bryan Bresee', 'DL', 'Clemson', 'ACC']","['tampa-bay-buccaneers', 'Anton Harrison', 'OT', 'Oklahoma', 'Big 12']","['seattle-seahawks', 'Jordan Addison', 'WR', 'USC', 'Pac-12']","['los-angeles-chargers', 'Dawand Jones', 'OT', 'Ohio St.', 'Big Ten']","['baltimore-ravens', 'Lukas Van Ness', 'EDGE', 'Iowa', 'Big Ten']","['minnesota-vikings', 'Deonte Banks', 'CB', 'Maryland', 'Big Ten']","['jacksonville-jaguars', 'Brian Branch', 'S', 'Alabama', 'SEC']","['new-york-giants', ""O'Cyrus Torrence"", 'IOL', 'Florida', 'SEC']","['dallas-cowboys', 'Mazi Smith', 'DL', 'Michigan', 'Big Ten']","['buffalo-bills', 'Darnell Wright', 'OT', 'Tennessee', 'SEC']","['cincinnati-bengals', 'Bijan Robinson', 'RB', 'Texas', 'Big 12']","['new-orleans-saints', 'Julius Brents', 'CB', 'Kansas St.', 'Big 12']","['philadelphia-eagles', 'Calijah Kancey', 'DL', 'Pittsburgh', 'ACC']","['kansas-city-chiefs', 'Michael Mayer', 'TE', 'Notre Dame', 'FBS Independent']"
NFL Mocks,03/20/23,Hunter Haas,https://www.nflmockdraftdatabase.com/mock-drafts/2023/nfl-mocks-2023-hunter-haas?date=2023-03-20,"['carolina-panthers', 'C.J. Stroud', 'QB', 'Ohio St.', 'Big Ten']","['houston-texans', 'Bryce Young', 'QB', 'Alabama', 'SEC']","['arizona-cardinals', 'Will Anderson Jr.', 'EDGE', 'Alabama', 'SEC']","['indianapolis-colts', 'Anthony Richardson', 'QB', 'Florida', 'SEC']","['seattle-seahawks', 'Tyree Wilson', 'DL', 'Texas Tech', 'Big 12']","['detroit-lions', 'Jalen Carter', 'DL', 'Georgia', 'SEC']","['las-vegas-raiders', 'Christian Gonzalez', 'CB', 'Oregon', 'Pac-12']","['atlanta-falcons', 'Nolan Smith', 'EDGE', 'Georgia', 'SEC']","['chicago-bears', 'Bijan Robinson', 'RB', 'Texas', 'Big 12']","['washington-commanders', 'Will Levis', 'QB', 'Kentucky', 'SEC']","['tennessee-titans', 'Broderick Jones', 'OT', 'Georgia', 'SEC']","['houston-texans', 'Calijah Kancey', 'DL', 'Pittsburgh', 'ACC']","['new-york-jets', 'Zay Flowers', 'WR', 'Boston College', 'ACC']","['new-england-patriots', 'Joey Porter Jr.', 'CB', 'Penn St.', 'Big Ten']","['green-bay-packers', 'Lukas Van Ness', 'DL', 'Iowa', 'Big Ten']","['philadelphia-eagles', 'Brian Branch', 'S', 'Alabama', 'SEC']","['pittsburgh-steelers', 'Peter Skoronski', 'IOL', 'Northwestern', 'Big Ten']","['detroit-lions', 'Devon Witherspoon', 'CB', 'Illinois', 'Big Ten']","['tampa-bay-buccaneers', 'Paris Johnson Jr.', 'OT', 'Ohio St.', 'Big Ten']","['seattle-seahawks', 'Kelee Ringo', 'S', 'Georgia', 'SEC']","['los-angeles-chargers', 'Myles Murphy', 'EDGE', 'Clemson', 'ACC']","['baltimore-ravens', 'Jaxon Smith-Njigba', 'WR', 'Ohio St.', 'Big Ten']","['minnesota-vikings', 'Quentin Johnston', 'WR', 'TCU', 'Big 12']","['jacksonville-jaguars', 'Deonte Banks', 'CB', 'Maryland', 'Big Ten']","['new-york-giants', 'Jordan Addison', 'WR', 'USC', 'Pac-12']","['dallas-cowboys', 'Michael Mayer', 'TE', 'Notre Dame', 'FBS Independent']","['buffalo-bills', ""O'Cyrus Torrence"", 'IOL', 'Florida', 'SEC']","['cincinnati-bengals', 'Darnell Wright', 'OT', 'Tennessee', 'SEC']","['new-orleans-saints', 'Keion White', 'DL', 'Georgia Tech', 'ACC']","['philadelphia-eagles', 'Bryan Bresee', 'DL', 'Clemson', 'ACC']","['kansas-city-chiefs', 'Adetomiwa Adebawore', 'DL', 'Northwestern', 'Big Ten']"
CBS,03/20/23,Ryan Wilson,https://www.nflmockdraftdatabase.com/mock-drafts/2023/cbs-2023-ryan-wilson?date=2023-03-20,"['carolina-panthers', 'Bryce Young', 'QB', 'Alabama', 'SEC']","['houston-texans', 'C.J. Stroud', 'QB', 'Ohio St.', 'Big Ten']","['arizona-cardinals', 'Will Anderson Jr.', 'EDGE', 'Alabama', 'SEC']","['indianapolis-colts', 'Anthony Richardson', 'QB', 'Florida', 'SEC']","['seattle-seahawks', 'Jalen Carter', 'DL', 'Georgia', 'SEC']","['las-vegas-raiders', 'Will Levis', 'QB', 'Kentucky', 'SEC']","['detroit-lions', 'Tyree Wilson', 'EDGE', 'Texas Tech', 'Big 12']","['atlanta-falcons', 'Christian Gonzalez', 'CB', 'Oregon', 'Pac-12']","['chicago-bears', 'Paris Johnson Jr.', 'OT', 'Ohio St.', 'Big Ten']","['philadelphia-eagles', 'Myles Murphy', 'DL', 'Clemson', 'ACC']","['tennessee-titans', 'Peter Skoronski', 'OT', 'Northwestern', 'Big Ten']","['houston-texans', 'Lukas Van Ness', 'EDGE', 'Iowa', 'Big Ten']","['new-york-jets', 'Broderick Jones', 'OT', 'Georgia', 'SEC']","['new-england-patriots', 'Joey Porter Jr.', 'CB', 'Penn St.', 'Big Ten']","['green-bay-packers', 'Jordan Addison', 'WR', 'USC', 'Pac-12']","['washington-commanders', 'Devon Witherspoon', 'CB', 'Illinois', 'Big Ten']","['pittsburgh-steelers', 'Brian Branch', 'S', 'Alabama', 'SEC']","['baltimore-ravens', 'Quentin Johnston', 'WR', 'TCU', 'Big 12']","['tampa-bay-buccaneers', 'Drew Sanders', 'LB', 'Arkansas', 'SEC']","['seattle-seahawks', ""O'Cyrus Torrence"", 'IOL', 'Florida', 'SEC']","['jacksonville-jaguars', 'Darnell Wright', 'OT', 'Tennessee', 'SEC']","['detroit-lions', 'Deonte Banks', 'CB', 'Maryland', 'Big Ten']","['minnesota-vikings', 'Jaxon Smith-Njigba', 'WR', 'Ohio St.', 'Big Ten']","['los-angeles-chargers', 'Michael Mayer', 'TE', 'Notre Dame', 'FBS Independent']","['kansas-city-chiefs', 'Dawand Jones', 'OT', 'Ohio St.', 'Big Ten']","['dallas-cowboys', 'Luke Musgrave', 'TE', 'Oregon St.', 'Pac-12']","['buffalo-bills', 'Bijan Robinson', 'RB', 'Texas', 'Big 12']","['cincinnati-bengals', 'Kelee Ringo', 'CB', 'Georgia', 'SEC']","['new-orleans-saints', 'Zay Flowers', 'WR', 'Boston College', 'ACC']","['philadelphia-eagles', 'Bryan Bresee', 'DL', 'Clemson', 'ACC']","['new-york-giants', 'John Michael Schmitz', 'IOL', 'Minnesota', 'Big Ten']"
Draftwire,03/20/23,Jeff Risdon,https://www.nflmockdraftdatabase.com/mock-drafts/2023/draftwire-2023-jeff-risdon?date=2023-03-20,"['carolina-panthers', 'C.J. Stroud', 'QB', 'Ohio St.', 'Big Ten']","['houston-texans', 'Bryce Young', 'QB', 'Alabama', 'SEC']","['arizona-cardinals', 'Tyree Wilson', 'EDGE', 'Texas Tech', 'Big 12']","['indianapolis-colts', 'Will Levis', 'QB', 'Kentucky', 'SEC']","['seattle-seahawks', 'Anthony Richardson', 'QB', 'Florida', 'SEC']","['detroit-lions', 'Will Anderson Jr.', 'EDGE', 'Alabama', 'SEC']","['las-vegas-raiders', 'Christian Gonzalez', 'CB', 'Oregon', 'Pac-12']","['atlanta-falcons', 'Jalen Carter', 'DL', 'Georgia', 'SEC']","['chicago-bears', 'Bijan Robinson', 'RB', 'Texas', 'Big 12']","['philadelphia-eagles', 'Lukas Van Ness', 'EDGE', 'Iowa', 'Big Ten']","['tennessee-titans', 'Paris Johnson Jr.', 'OT', 'Ohio St.', 'Big Ten']","['houston-texans', 'Myles Murphy', 'EDGE', 'Clemson', 'ACC']","['new-york-jets', 'Peter Skoronski', 'IOL', 'Northwestern', 'Big Ten']","['new-england-patriots', 'Joey Porter Jr.', 'CB', 'Penn St.', 'Big Ten']","['green-bay-packers', 'Brian Branch', 'S', 'Alabama', 'SEC']","['washington-commanders', 'Deonte Banks', 'CB', 'Maryland', 'Big Ten']","['pittsburgh-steelers', 'Broderick Jones', 'OT', 'Georgia', 'SEC']","['detroit-lions', 'Devon Witherspoon', 'CB', 'Illinois', 'Big Ten']","['tampa-bay-buccaneers', 'Darnell Wright', 'IOL', 'Tennessee', 'SEC']","['seattle-seahawks', 'Calijah Kancey', 'DL', 'Pittsburgh', 'ACC']","['los-angeles-chargers', 'Dalton Kincaid', 'TE', 'Utah', 'Pac-12']","['baltimore-ravens', 'Jordan Addison', 'WR', 'USC', 'Pac-12']","['minnesota-vikings', 'Nolan Smith', 'EDGE', 'Georgia', 'SEC']","['jacksonville-jaguars', 'Quentin Johnston', 'WR', 'TCU', 'Big 12']","['new-york-giants', 'John Michael Schmitz', 'IOL', 'Minnesota', 'Big Ten']","['dallas-cowboys', 'Jahmyr Gibbs', 'RB', 'Alabama', 'SEC']","['buffalo-bills', ""O'Cyrus Torrence"", 'IOL', 'Florida', 'SEC']","['cincinnati-bengals', 'Anton Harrison', 'OT', 'Oklahoma', 'Big 12']","['new-orleans-saints', 'Jaxon Smith-Njigba', 'WR', 'Ohio St.', 'Big Ten']","['philadelphia-eagles', 'Kelee Ringo', 'CB', 'Georgia', 'SEC']","['kansas-city-chiefs', 'Bryan Bresee', 'DL', 'Clemson', 'ACC']"
Fantasy Pros,03/20/23,Russell Brown,https://www.nflmockdraftdatabase.com/mock-drafts/2023/fantasy-pros-2023-russell-brown?date=2023-03-20,"['carolina-panthers', 'Anthony Richardson', 'QB', 'Florida', 'SEC']","['houston-texans', 'Bryce Young', 'QB', 'Alabama', 'SEC']","['arizona-cardinals', 'Will Anderson Jr.', 'EDGE', 'Alabama', 'SEC']","['indianapolis-colts', 'C.J. Stroud', 'QB', 'Ohio St.', 'Big Ten']","['seattle-seahawks', 'Will Levis', 'QB', 'Kentucky', 'SEC']","['detroit-lions', 'Christian Gonzalez', 'CB', 'Oregon', 'Pac-12']","['las-vegas-raiders', 'Tyree Wilson', 'EDGE', 'Texas Tech', 'Big 12']","['atlanta-falcons', 'Jaxon Smith-Njigba', 'WR', 'Ohio St.', 'Big Ten']","['chicago-bears', 'Jalen Carter', 'DL', 'Georgia', 'SEC']","['philadelphia-eagles', 'Bijan Robinson', 'RB', 'Texas', 'Big 12']","['tennessee-titans', 'Paris Johnson Jr.', 'OT', 'Ohio St.', 'Big Ten']","['houston-texans', 'Myles Murphy', 'EDGE', 'Clemson', 'ACC']","['new-york-jets', 'Broderick Jones', 'OT', 'Georgia', 'SEC']","['new-england-patriots', 'Zay Flowers', 'WR', 'Boston College', 'ACC']","['green-bay-packers', 'Michael Mayer', 'TE', 'Notre Dame', 'FBS Independent']","['washington-commanders', 'Joey Porter Jr.', 'CB', 'Penn St.', 'Big Ten']","['pittsburgh-steelers', 'Peter Skoronski', 'OT', 'Northwestern', 'Big Ten']","['detroit-lions', 'Nolan Smith', 'EDGE', 'Georgia', 'SEC']","['tampa-bay-buccaneers', 'Darnell Wright', 'OT', 'Tennessee', 'SEC']","['seattle-seahawks', 'Lukas Van Ness', 'EDGE', 'Iowa', 'Big Ten']","['los-angeles-chargers', 'Brian Branch', 'S', 'Alabama', 'SEC']","['baltimore-ravens', 'Devon Witherspoon', 'CB', 'Illinois', 'Big Ten']","['minnesota-vikings', 'Quentin Johnston', 'WR', 'TCU', 'Big 12']","['jacksonville-jaguars', 'Mazi Smith', 'DL', 'Michigan', 'Big Ten']","['new-york-giants', 'Jordan Addison', 'WR', 'USC', 'Pac-12']","['dallas-cowboys', 'Anton Harrison', 'OT', 'Oklahoma', 'Big 12']","['buffalo-bills', 'Trenton Simpson', 'LB', 'Clemson', 'ACC']","['cincinnati-bengals', 'Dalton Kincaid', 'TE', 'Utah', 'Pac-12']","['new-orleans-saints', 'Josh Downs', 'WR', 'North Carolina', 'ACC']","['philadelphia-eagles', ""O'Cyrus Torrence"", 'IOL', 'Florida', 'SEC']","['kansas-city-chiefs', 'Bryan Bresee', 'DL', 'Clemson', 'ACC']"
Sportsnaut,03/19/23,Matt Johnson,https://www.nflmockdraftdatabase.com/mock-drafts/2023/sportsnaut-2023-matt-johnson?date=2023-03-19,"['carolina-panthers', 'Anthony Richardson', 'QB', 'Florida', 'SEC']","['houston-texans', 'Bryce Young', 'QB', 'Alabama', 'SEC']","['las-vegas-raiders', 'C.J. Stroud', 'QB', 'Ohio St.', 'Big Ten']","['indianapolis-colts', 'Will Levis', 'QB', 'Kentucky', 'SEC']","['seattle-seahawks', 'Will Anderson Jr.', 'EDGE', 'Alabama', 'SEC']","['detroit-lions', 'Devon Witherspoon', 'CB', 'Illinois', 'Big Ten']","['arizona-cardinals', 'Tyree Wilson', 'EDGE', 'Texas Tech', 'Big 12']","['atlanta-falcons', 'Christian Gonzalez', 'CB', 'Oregon', 'Pac-12']","['chicago-bears', 'Jalen Carter', 'DL', 'Georgia', 'SEC']","['philadelphia-eagles', 'Broderick Jones', 'OT', 'Georgia', 'SEC']","['tennessee-titans', 'Peter Skoronski', 'IOL', 'Northwestern', 'Big Ten']","['houston-texans', 'Quentin Johnston', 'WR', 'TCU', 'Big 12']","['green-bay-packers', 'Jaxon Smith-Njigba', 'WR', 'Ohio St.', 'Big Ten']","['new-england-patriots', 'Lukas Van Ness', 'EDGE', 'Iowa', 'Big Ten']","['green-bay-packers', 'Paris Johnson Jr.', 'OT', 'Ohio St.', 'Big Ten']","['washington-commanders', 'Joey Porter Jr.', 'CB', 'Penn St.', 'Big Ten']","['pittsburgh-steelers', 'Anton Harrison', 'OT', 'Oklahoma', 'Big 12']","['detroit-lions', 'Bryan Bresee', 'DL', 'Clemson', 'ACC']","['tampa-bay-buccaneers', 'Bijan Robinson', 'RB', 'Texas', 'Big 12']","['seattle-seahawks', 'Calijah Kancey', 'DL', 'Pittsburgh', 'ACC']","['los-angeles-chargers', 'Michael Mayer', 'TE', 'Notre Dame', 'FBS Independent']","['baltimore-ravens', 'Jordan Addison', 'WR', 'USC', 'Pac-12']","['minnesota-vikings', 'Zay Flowers', 'WR', 'Boston College', 'ACC']","['jacksonville-jaguars', 'Brian Branch', 'S', 'Alabama', 'SEC']","['new-york-giants', 'Deonte Banks', 'CB', 'Maryland', 'Big Ten']","['dallas-cowboys', 'Dalton Kincaid', 'TE', 'Utah', 'Pac-12']","['buffalo-bills', ""O'Cyrus Torrence"", 'IOL', 'Florida', 'SEC']","['cincinnati-bengals', 'Dawand Jones', 'OT', 'Ohio St.', 'Big Ten']","['new-orleans-saints', 'Nolan Smith', 'EDGE', 'Georgia', 'SEC']","['philadelphia-eagles', 'Myles Murphy', 'EDGE', 'Clemson', 'ACC']","['kansas-city-chiefs', 'Will McDonald IV', 'EDGE', 'Iowa St.', 'Big 12']"
Fantom Sports,03/19/23,Dacota Haynes,https://www.nflmockdraftdatabase.com/mock-drafts/2023/fantom-sports-2023-dacota-haynes?date=2023-03-19,"['carolina-panthers', 'Will Levis', 'QB', 'Kentucky', 'SEC']","['houston-texans', 'Bryce Young', 'QB', 'Alabama', 'SEC']","['arizona-cardinals', 'Will Anderson Jr.', 'DL', 'Alabama', 'SEC']","['indianapolis-colts', 'C.J. Stroud', 'QB', 'Ohio St.', 'Big Ten']","['seattle-seahawks', 'Anthony Richardson', 'QB', 'Florida', 'SEC']","['detroit-lions', 'Christian Gonzalez', 'CB', 'Oregon', 'Pac-12']","['las-vegas-raiders', 'Joey Porter Jr.', 'CB', 'Penn St.', 'Big Ten']","['atlanta-falcons', 'Tyree Wilson', 'DL', 'Texas Tech', 'Big 12']","['chicago-bears', 'Jalen Carter', 'DL', 'Georgia', 'SEC']","['philadelphia-eagles', 'Devon Witherspoon', 'CB', 'Illinois', 'Big Ten']","['tennessee-titans', 'Paris Johnson Jr.', 'OT', 'Ohio St.', 'Big Ten']","['houston-texans', 'Peter Skoronski', 'OT', 'Northwestern', 'Big Ten']","['new-york-jets', 'Broderick Jones', 'OT', 'Georgia', 'SEC']","['new-england-patriots', 'Brian Branch', 'CB', 'Alabama', 'SEC']","['green-bay-packers', 'Lukas Van Ness', 'DL', 'Iowa', 'Big Ten']","['washington-commanders', 'Anton Harrison', 'OT', 'Oklahoma', 'Big 12']","['pittsburgh-steelers', 'Darnell Wright', 'OT', 'Tennessee', 'SEC']","['detroit-lions', 'Michael Mayer', 'TE', 'Notre Dame', 'FBS Independent']","['tampa-bay-buccaneers', 'Kelee Ringo', 'CB', 'Georgia', 'SEC']","['seattle-seahawks', 'Siaki Ika', 'DL', 'Baylor', 'Big 12']","['los-angeles-chargers', 'Jaxon Smith-Njigba', 'WR', 'Ohio St.', 'Big Ten']","['baltimore-ravens', 'Quentin Johnston', 'WR', 'TCU', 'Big 12']","['minnesota-vikings', 'Jordan Addison', 'WR', 'USC', 'Pac-12']","['jacksonville-jaguars', 'Cam Smith', 'CB', 'South Carolina', 'SEC']","['new-york-giants', 'Zay Flowers', 'WR', 'Boston College', 'ACC']","['dallas-cowboys', 'Bijan Robinson', 'RB', 'Texas', 'Big 12']","['buffalo-bills', ""O'Cyrus Torrence"", 'IOL', 'Florida', 'SEC']","['cincinnati-bengals', 'Darnell Washington', 'TE', 'Georgia', 'SEC']","['new-orleans-saints', 'Nolan Smith', 'DL', 'Georgia', 'SEC']","['philadelphia-eagles', 'Calijah Kancey', 'DL', 'Pittsburgh', 'ACC']","['kansas-city-chiefs', 'Matthew Bergeron', 'OT', 'Syracuse', 'ACC']"
CBS,03/18/23,Kyle Stackpole,https://www.nflmockdraftdatabase.com/mock-drafts/2023/cbs-2023-kyle-stackpole?date=2023-03-18,"['carolina-panthers', 'Bryce Young', 'QB', 'Alabama', 'SEC']","['houston-texans', 'C.J. Stroud', 'QB', 'Ohio St.', 'Big Ten']","['arizona-cardinals', 'Will Anderson Jr.', 'EDGE', 'Alabama', 'SEC']","['indianapolis-colts', 'Will Levis', 'QB', 'Kentucky', 'SEC']","['seattle-seahawks', 'Tyree Wilson', 'EDGE', 'Texas Tech', 'Big 12']","['detroit-lions', 'Anthony Richardson', 'QB', 'Florida', 'SEC']","['las-vegas-raiders', 'Jalen Carter', 'DL', 'Georgia', 'SEC']","['atlanta-falcons', 'Christian Gonzalez', 'CB', 'Oregon', 'Pac-12']","['chicago-bears', 'Jaxon Smith-Njigba', 'WR', 'Ohio St.', 'Big Ten']","['philadelphia-eagles', 'Myles Murphy', 'DL', 'Clemson', 'ACC']","['tennessee-titans', 'Paris Johnson Jr.', 'OT', 'Ohio St.', 'Big Ten']","['houston-texans', 'Devon Witherspoon', 'CB', 'Illinois', 'Big Ten']","['green-bay-packers', 'Peter Skoronski', 'OT', 'Northwestern', 'Big Ten']","['new-england-patriots', 'Broderick Jones', 'OT', 'Georgia', 'SEC']","['green-bay-packers', 'Brian Branch', 'S', 'Alabama', 'SEC']","['washington-commanders', 'Joey Porter Jr.', 'CB', 'Penn St.', 'Big Ten']","['pittsburgh-steelers', 'Darnell Wright', 'OT', 'Tennessee', 'SEC']","['detroit-lions', 'Dalton Kincaid', 'TE', 'Utah', 'Pac-12']","['tampa-bay-buccaneers', 'Bryan Bresee', 'DL', 'Clemson', 'ACC']","['seattle-seahawks', 'Jordan Addison', 'WR', 'USC', 'Pac-12']","['los-angeles-chargers', 'Bijan Robinson', 'RB', 'Texas', 'Big 12']","['baltimore-ravens', 'Quentin Johnston', 'WR', 'TCU', 'Big 12']","['minnesota-vikings', 'Zay Flowers', 'WR', 'Boston College', 'ACC']","['jacksonville-jaguars', 'Dawand Jones', 'OT', 'Ohio St.', 'Big Ten']","['new-york-giants', 'Deonte Banks', 'CB', 'Maryland', 'Big Ten']","['dallas-cowboys', 'Jalin Hyatt', 'WR', 'Tennessee', 'SEC']","['buffalo-bills', ""O'Cyrus Torrence"", 'IOL', 'Florida', 'SEC']","['cincinnati-bengals', 'Darnell Washington', 'TE', 'Georgia', 'SEC']","['new-orleans-saints', 'Nolan Smith', 'EDGE', 'Georgia', 'SEC']","['philadelphia-eagles', 'Jahmyr Gibbs', 'RB', 'Alabama', 'SEC']","['kansas-city-chiefs', 'Will McDonald IV', 'EDGE', 'Iowa St.', 'Big 12']"
Pro Football Network,03/18/23,Ian Cummings,https://www.nflmockdraftdatabase.com/mock-drafts/2023/pro-football-network-2023-ian-cummings?date=2023-03-18,"['carolina-panthers', 'C.J. Stroud', 'QB', 'Ohio St.', 'Big Ten']","['houston-texans', 'Bryce Young', 'QB', 'Alabama', 'SEC']","['arizona-cardinals', 'Will Anderson Jr.', 'EDGE', 'Alabama', 'SEC']","['indianapolis-colts', 'Anthony Richardson', 'QB', 'Florida', 'SEC']","['seattle-seahawks', 'Tyree Wilson', 'EDGE', 'Texas Tech', 'Big 12']","['detroit-lions', 'Will Levis', 'QB', 'Kentucky', 'SEC']","['las-vegas-raiders', 'Paris Johnson Jr.', 'OT', 'Ohio St.', 'Big Ten']","['atlanta-falcons', 'Christian Gonzalez', 'CB', 'Oregon', 'Pac-12']","['chicago-bears', 'Lukas Van Ness', 'EDGE', 'Iowa', 'Big Ten']","['philadelphia-eagles', 'Myles Murphy', 'EDGE', 'Clemson', 'ACC']","['seattle-seahawks', 'Jalen Carter', 'DL', 'Georgia', 'SEC']","['houston-texans', 'Jaxon Smith-Njigba', 'WR', 'Ohio St.', 'Big Ten']","['new-york-jets', 'Broderick Jones', 'OT', 'Georgia', 'SEC']","['new-england-patriots', 'Jack Campbell', 'LB', 'Iowa', 'Big Ten']","['green-bay-packers', 'Bryan Bresee', 'DL', 'Clemson', 'ACC']","['washington-commanders', 'Devon Witherspoon', 'CB', 'Illinois', 'Big Ten']","['pittsburgh-steelers', 'Darnell Wright', 'OT', 'Tennessee', 'SEC']","['detroit-lions', 'Quentin Johnston', 'WR', 'TCU', 'Big 12']","['tampa-bay-buccaneers', 'Peter Skoronski', 'IOL', 'Northwestern', 'Big Ten']","['tennessee-titans', 'John Michael Schmitz', 'IOL', 'Minnesota', 'Big Ten']","['los-angeles-chargers', 'Bijan Robinson', 'RB', 'Texas', 'Big 12']","['baltimore-ravens', 'Adetomiwa Adebawore', 'DL', 'Northwestern', 'Big Ten']","['minnesota-vikings', 'Jordan Addison', 'WR', 'USC', 'Pac-12']","['jacksonville-jaguars', 'Brian Branch', 'S', 'Alabama', 'SEC']","['new-york-giants', 'Joe Tippmann', 'IOL', 'Wisconsin', 'Big Ten']","['dallas-cowboys', 'Josh Downs', 'WR', 'North Carolina', 'ACC']","['buffalo-bills', 'Anton Harrison', 'OT', 'Oklahoma', 'Big 12']","['cincinnati-bengals', 'Deonte Banks', 'CB', 'Maryland', 'Big Ten']","['new-orleans-saints', 'Zach Harrison', 'EDGE', 'Ohio St.', 'Big Ten']","['philadelphia-eagles', 'Joey Porter Jr.', 'CB', 'Penn St.', 'Big Ten']","['kansas-city-chiefs', 'Dawand Jones', 'OT', 'Ohio St.', 'Big Ten']"
